service_id,date,exception_type
平日（月～金）,20170401,2
土曜,20170401,1
日曜,20170401,2
祝日,20170401,2
平日（月～金）,20170402,2
土曜,20170402,2
日曜,20170402,1
祝日,20170402,2
平日（月～金）,20170403,1
土曜,20170403,2
日曜,20170403,2
祝日,20170403,2
平日（月～金）,20170404,1
土曜,20170404,2
日曜,20170404,2
祝日,20170404,2
平日（月～金）,20170405,1
土曜,20170405,2
日曜,20170405,2
祝日,20170405,2
平日（月～金）,20170406,1
土曜,20170406,2
日曜,20170406,2
祝日,20170406,2
平日（月～金）,20170407,1
土曜,20170407,2
日曜,20170407,2
祝日,20170407,2
平日（月～金）,20170408,2
土曜,20170408,1
日曜,20170408,2
祝日,20170408,2
平日（月～金）,20170409,2
土曜,20170409,2
日曜,20170409,1
祝日,20170409,2
平日（月～金）,20170410,1
土曜,20170410,2
日曜,20170410,2
祝日,20170410,2
平日（月～金）,20170411,1
土曜,20170411,2
日曜,20170411,2
祝日,20170411,2
平日（月～金）,20170412,1
土曜,20170412,2
日曜,20170412,2
祝日,20170412,2
平日（月～金）,20170413,1
土曜,20170413,2
日曜,20170413,2
祝日,20170413,2
平日（月～金）,20170414,1
土曜,20170414,2
日曜,20170414,2
祝日,20170414,2
平日（月～金）,20170415,2
土曜,20170415,1
日曜,20170415,2
祝日,20170415,2
平日（月～金）,20170416,2
土曜,20170416,2
日曜,20170416,1
祝日,20170416,2
平日（月～金）,20170417,1
土曜,20170417,2
日曜,20170417,2
祝日,20170417,2
平日（月～金）,20170418,1
土曜,20170418,2
日曜,20170418,2
祝日,20170418,2
平日（月～金）,20170419,1
土曜,20170419,2
日曜,20170419,2
祝日,20170419,2
平日（月～金）,20170420,1
土曜,20170420,2
日曜,20170420,2
祝日,20170420,2
平日（月～金）,20170421,1
土曜,20170421,2
日曜,20170421,2
祝日,20170421,2
平日（月～金）,20170422,2
土曜,20170422,1
日曜,20170422,2
祝日,20170422,2
平日（月～金）,20170423,2
土曜,20170423,2
日曜,20170423,1
祝日,20170423,2
平日（月～金）,20170424,1
土曜,20170424,2
日曜,20170424,2
祝日,20170424,2
平日（月～金）,20170425,1
土曜,20170425,2
日曜,20170425,2
祝日,20170425,2
平日（月～金）,20170426,1
土曜,20170426,2
日曜,20170426,2
祝日,20170426,2
平日（月～金）,20170427,1
土曜,20170427,2
日曜,20170427,2
祝日,20170427,2
平日（月～金）,20170428,1
土曜,20170428,2
日曜,20170428,2
祝日,20170428,2
平日（月～金）,20170429,2
土曜,20170429,2
日曜,20170429,2
祝日,20170429,1
平日（月～金）,20170430,2
土曜,20170430,2
日曜,20170430,1
祝日,20170430,2
