fare_id,route_id,origin_id,destination_id,contains_id
F_210,25000-1,Z_210,Z_210,
FA_190,21000-0,1510-59,1530-01,
FA_200,21000-0,1510-59,1535-01,
FA_200,21000-0,1510-59,1540-01,
FA_210,21000-0,1510-59,1550-01,
FA_210,21000-0,1510-59,1500-01,
FA_220,21000-0,1510-59,1560-01,
FA_220,21000-0,1510-59,1570-01,
FA_230,21000-0,1510-59,1580-01,
FA_230,21000-0,1510-59,1590-01,
FA_240,21000-0,1510-59,1600-01,
FA_240,21000-0,1510-59,1610-01,
FA_250,21000-0,1510-59,2120-02,
FA_250,21000-0,1510-59,2110-02,
FA_260,21000-0,1510-59,2100-02,
FA_260,21000-0,1510-59,2090-02,
FA_260,21000-0,1510-59,2080-02,
FA_270,21000-0,1510-59,2070-02,
FA_270,21000-0,1510-59,2040-02,
FA_270,21000-0,1510-59,1530-02,
FA_280,21000-0,1510-59,1510-01,
FA_190,21000-0,1530-01,1535-01,
FA_190,21000-0,1530-01,1540-01,
FA_200,21000-0,1530-01,1550-01,
FA_200,21000-0,1530-01,1500-01,
FA_210,21000-0,1530-01,1560-01,
FA_210,21000-0,1530-01,1570-01,
FA_220,21000-0,1530-01,1580-01,
FA_220,21000-0,1530-01,1590-01,
FA_230,21000-0,1530-01,1600-01,
FA_230,21000-0,1530-01,1610-01,
FA_240,21000-0,1530-01,2120-02,
FA_240,21000-0,1530-01,2110-02,
FA_250,21000-0,1530-01,2100-02,
FA_250,21000-0,1530-01,2090-02,
FA_250,21000-0,1530-01,2080-02,
FA_260,21000-0,1530-01,2070-02,
FA_260,21000-0,1530-01,2040-02,
FA_260,21000-0,1530-01,1530-02,
FA_270,21000-0,1530-01,1510-01,
FA_190,21000-0,1535-01,1540-01,
FA_200,21000-0,1535-01,1550-01,
FA_200,21000-0,1535-01,1500-01,
FA_210,21000-0,1535-01,1560-01,
FA_210,21000-0,1535-01,1570-01,
FA_220,21000-0,1535-01,1580-01,
FA_220,21000-0,1535-01,1590-01,
FA_230,21000-0,1535-01,1600-01,
FA_230,21000-0,1535-01,1610-01,
FA_240,21000-0,1535-01,2120-02,
FA_240,21000-0,1535-01,2110-02,
FA_250,21000-0,1535-01,2100-02,
FA_250,21000-0,1535-01,2090-02,
FA_250,21000-0,1535-01,2080-02,
FA_260,21000-0,1535-01,2070-02,
FA_260,21000-0,1535-01,2040-02,
FA_260,21000-0,1535-01,1530-02,
FA_270,21000-0,1535-01,1510-01,
FA_190,21000-0,1540-01,1550-01,
FA_190,21000-0,1540-01,1500-01,
FA_200,21000-0,1540-01,1560-01,
FA_200,21000-0,1540-01,1570-01,
FA_210,21000-0,1540-01,1580-01,
FA_210,21000-0,1540-01,1590-01,
FA_220,21000-0,1540-01,1600-01,
FA_220,21000-0,1540-01,1610-01,
FA_230,21000-0,1540-01,2120-02,
FA_230,21000-0,1540-01,2110-02,
FA_240,21000-0,1540-01,2100-02,
FA_240,21000-0,1540-01,2090-02,
FA_240,21000-0,1540-01,2080-02,
FA_250,21000-0,1540-01,2070-02,
FA_250,21000-0,1540-01,2040-02,
FA_250,21000-0,1540-01,1530-02,
FA_260,21000-0,1540-01,1510-01,
FA_190,21000-0,1550-01,1500-01,
FA_200,21000-0,1550-01,1560-01,
FA_200,21000-0,1550-01,1570-01,
FA_210,21000-0,1550-01,1580-01,
FA_210,21000-0,1550-01,1590-01,
FA_220,21000-0,1550-01,1600-01,
FA_220,21000-0,1550-01,1610-01,
FA_230,21000-0,1550-01,2120-02,
FA_230,21000-0,1550-01,2110-02,
FA_240,21000-0,1550-01,2100-02,
FA_240,21000-0,1550-01,2090-02,
FA_240,21000-0,1550-01,2080-02,
FA_250,21000-0,1550-01,2070-02,
FA_250,21000-0,1550-01,2040-02,
FA_250,21000-0,1550-01,1530-02,
FA_260,21000-0,1550-01,1510-01,
FA_190,21000-0,1500-01,1560-01,
FA_190,21000-0,1500-01,1570-01,
FA_200,21000-0,1500-01,1580-01,
FA_200,21000-0,1500-01,1590-01,
FA_210,21000-0,1500-01,1600-01,
FA_210,21000-0,1500-01,1610-01,
FA_220,21000-0,1500-01,2120-02,
FA_220,21000-0,1500-01,2110-02,
FA_230,21000-0,1500-01,2100-02,
FA_230,21000-0,1500-01,2090-02,
FA_230,21000-0,1500-01,2080-02,
FA_240,21000-0,1500-01,2070-02,
FA_240,21000-0,1500-01,2040-02,
FA_240,21000-0,1500-01,1530-02,
FA_250,21000-0,1500-01,1510-01,
FA_190,21000-0,1560-01,1570-01,
FA_200,21000-0,1560-01,1580-01,
FA_200,21000-0,1560-01,1590-01,
FA_210,21000-0,1560-01,1600-01,
FA_210,21000-0,1560-01,1610-01,
FA_220,21000-0,1560-01,2120-02,
FA_220,21000-0,1560-01,2110-02,
FA_230,21000-0,1560-01,2100-02,
FA_230,21000-0,1560-01,2090-02,
FA_230,21000-0,1560-01,2080-02,
FA_240,21000-0,1560-01,2070-02,
FA_240,21000-0,1560-01,2040-02,
FA_240,21000-0,1560-01,1530-02,
FA_250,21000-0,1560-01,1510-01,
FA_190,21000-0,1570-01,1580-01,
FA_190,21000-0,1570-01,1590-01,
FA_200,21000-0,1570-01,1600-01,
FA_200,21000-0,1570-01,1610-01,
FA_210,21000-0,1570-01,2120-02,
FA_210,21000-0,1570-01,2110-02,
FA_220,21000-0,1570-01,2100-02,
FA_220,21000-0,1570-01,2090-02,
FA_220,21000-0,1570-01,2080-02,
FA_230,21000-0,1570-01,2070-02,
FA_230,21000-0,1570-01,2040-02,
FA_230,21000-0,1570-01,1530-02,
FA_240,21000-0,1570-01,1510-01,
FA_190,21000-0,1580-01,1590-01,
FA_200,21000-0,1580-01,1600-01,
FA_200,21000-0,1580-01,1610-01,
FA_210,21000-0,1580-01,2120-02,
FA_210,21000-0,1580-01,2110-02,
FA_220,21000-0,1580-01,2100-02,
FA_220,21000-0,1580-01,2090-02,
FA_220,21000-0,1580-01,2080-02,
FA_230,21000-0,1580-01,2070-02,
FA_230,21000-0,1580-01,2040-02,
FA_230,21000-0,1580-01,1530-02,
FA_240,21000-0,1580-01,1510-01,
FA_190,21000-0,1590-01,1600-01,
FA_190,21000-0,1590-01,1610-01,
FA_200,21000-0,1590-01,2120-02,
FA_200,21000-0,1590-01,2110-02,
FA_210,21000-0,1590-01,2100-02,
FA_210,21000-0,1590-01,2090-02,
FA_210,21000-0,1590-01,2080-02,
FA_220,21000-0,1590-01,2070-02,
FA_220,21000-0,1590-01,2040-02,
FA_220,21000-0,1590-01,1530-02,
FA_230,21000-0,1590-01,1510-01,
FA_190,21000-0,1600-01,1610-01,
FA_200,21000-0,1600-01,2120-02,
