trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_travel,timepoint
25000-1-平日（月～金）-001,6:28:00,6:28:00,1510-57,0,矢向末吉橋循環,0,1,0,
25000-1-平日（月～金）-001,6:30:00,6:30:00,1530-03,1,矢向末吉橋循環,3,3,500,
25000-1-平日（月～金）-001,6:31:00,6:31:00,2040-01,2,矢向末吉橋循環,3,3,1000,
25000-1-平日（月～金）-001,6:33:00,6:33:00,2070-01,3,矢向末吉橋循環,3,3,1500,
25000-1-平日（月～金）-001,6:34:00,6:34:00,2080-01,4,矢向末吉橋循環,3,3,1950,
25000-1-平日（月～金）-001,6:35:00,6:35:00,2090-01,5,矢向末吉橋循環,3,3,2350,
25000-1-平日（月～金）-001,6:37:00,6:37:00,2100-01,6,矢向末吉橋循環,3,3,3290,
25000-1-平日（月～金）-001,6:38:00,6:38:00,2110-01,7,矢向末吉橋循環,3,3,3550,
25000-1-平日（月～金）-001,6:39:00,6:39:00,2120-01,8,矢向末吉橋循環,3,3,3850,
25000-1-平日（月～金）-001,6:40:00,6:40:00,1620-03,9,川崎駅西口行き（末吉橋経由）,3,3,4190,
25000-1-平日（月～金）-001,6:42:00,6:42:00,1610-02,10,川崎駅西口行き（末吉橋経由）,3,3,4470,
25000-1-平日（月～金）-001,6:43:00,6:43:00,1600-02,11,川崎駅西口行き（末吉橋経由）,3,3,4820,
25000-1-平日（月～金）-001,6:44:00,6:44:00,1590-02,12,川崎駅西口行き（末吉橋経由）,3,3,5120,
25000-1-平日（月～金）-001,6:45:00,6:45:00,1580-02,13,川崎駅西口行き,3,3,5490,
25000-1-平日（月～金）-001,6:47:00,6:47:00,1570-02,14,川崎駅西口行き,3,3,6110,
25000-1-平日（月～金）-001,6:48:00,6:48:00,1560-02,15,川崎駅西口行き,3,3,6280,
25000-1-平日（月～金）-001,6:49:00,6:49:00,1500-02,16,川崎駅西口行き,3,3,6540,
25000-1-平日（月～金）-001,6:50:00,6:50:00,1550-02,17,川崎駅西口行き,3,3,6950,
25000-1-平日（月～金）-001,6:52:00,6:52:00,1540-02,18,川崎駅西口行き,3,3,7250,
25000-1-平日（月～金）-001,6:53:00,6:53:00,1535-02,19,川崎駅西口行き,3,3,7390,
25000-1-平日（月～金）-001,6:54:00,6:54:00,1530-02,20,川崎駅西口行き,3,3,7750,
25000-1-平日（月～金）-001,6:56:00,6:56:00,1510-01,21,,1,0,8250,
25000-1-平日（月～金）-002,6:45:00,6:45:00,1510-57,0,矢向末吉橋循環,0,1,0,
25000-1-平日（月～金）-002,6:47:00,6:47:00,1530-03,1,矢向末吉橋循環,3,3,500,
25000-1-平日（月～金）-002,6:49:00,6:49:00,2040-01,2,矢向末吉橋循環,3,3,1000,
25000-1-平日（月～金）-002,6:51:00,6:51:00,2070-01,3,矢向末吉橋循環,3,3,1500,
25000-1-平日（月～金）-002,6:52:00,6:52:00,2080-01,4,矢向末吉橋循環,3,3,1950,
25000-1-平日（月～金）-002,6:54:00,6:54:00,2090-01,5,矢向末吉橋循環,3,3,2350,
25000-1-平日（月～金）-002,6:56:00,6:56:00,2100-01,6,矢向末吉橋循環,3,3,3290,
25000-1-平日（月～金）-002,6:57:00,6:57:00,2110-01,7,矢向末吉橋循環,3,3,3550,
25000-1-平日（月～金）-002,6:58:00,6:58:00,2120-01,8,矢向末吉橋循環,3,3,3850,
25000-1-平日（月～金）-002,7:00:00,7:00:00,1620-03,9,川崎駅西口行き（末吉橋経由）,3,3,4190,
25000-1-平日（月～金）-002,7:02:00,7:02:00,1610-02,10,川崎駅西口行き（末吉橋経由）,3,3,4470,
25000-1-平日（月～金）-002,7:04:00,7:04:00,1600-02,11,川崎駅西口行き（末吉橋経由）,3,3,4820,
25000-1-平日（月～金）-002,7:06:00,7:06:00,1590-02,12,川崎駅西口行き（末吉橋経由）,3,3,5120,
25000-1-平日（月～金）-002,7:10:00,7:10:00,1580-02,13,川崎駅西口行き,3,3,5490,
25000-1-平日（月～金）-002,7:12:00,7:12:00,1570-02,14,川崎駅西口行き,3,3,6110,
25000-1-平日（月～金）-002,7:14:00,7:14:00,1560-02,15,川崎駅西口行き,3,3,6280,
25000-1-平日（月～金）-002,7:15:00,7:15:00,1500-02,16,川崎駅西口行き,3,3,6540,
25000-1-平日（月～金）-002,7:17:00,7:17:00,1550-02,17,川崎駅西口行き,3,3,6950,
25000-1-平日（月～金）-002,7:20:00,7:20:00,1540-02,18,川崎駅西口行き,3,3,7250,
25000-1-平日（月～金）-002,7:22:00,7:22:00,1535-02,19,川崎駅西口行き,3,3,7390,
25000-1-平日（月～金）-002,7:24:00,7:24:00,1530-02,20,川崎駅西口行き,3,3,7750,
25000-1-平日（月～金）-002,7:26:00,7:26:00,1510-01,21,,1,0,8250,
25000-1-平日（月～金）-003,7:01:00,7:01:00,1510-57,0,矢向末吉橋循環,0,1,0,
25000-1-平日（月～金）-003,7:03:00,7:03:00,1530-03,1,矢向末吉橋循環,3,3,500,
25000-1-平日（月～金）-003,7:05:00,7:05:00,2040-01,2,矢向末吉橋循環,3,3,1000,
25000-1-平日（月～金）-003,7:07:00,7:07:00,2070-01,3,矢向末吉橋循環,3,3,1500,
25000-1-平日（月～金）-003,7:08:00,7:08:00,2080-01,4,矢向末吉橋循環,3,3,1950,
25000-1-平日（月～金）-003,7:10:00,7:10:00,2090-01,5,矢向末吉橋循環,3,3,2350,
25000-1-平日（月～金）-003,7:12:00,7:12:00,2100-01,6,矢向末吉橋循環,3,3,3290,
25000-1-平日（月～金）-003,7:13:00,7:13:00,2110-01,7,矢向末吉橋循環,3,3,3550,
